"","x"
"577","Carduelis flavirostris"
"578","Carduelis lawrencei"
"579","Carduelis magellanica"
"580","Carduelis notata"
"581","Carduelis olivacea"
"582","Carduelis pinus"
"583","Carduelis psaltria"
"584","Carduelis siemiradzkii"
"585","Carduelis sinica"
"586","Carduelis spinescens"
"587","Carduelis spinoides"
"588","Carduelis spinus"
"589","Carduelis uropygialis"
"590","Carduelis xanthogastra"
"591","Carduelis yarrellii"
"592","Cariama cristata"
"593","Caryothraustes canadensis"
"594","Caryothraustes poliogaster"
"595","Cathartes burrovianus"
"596","Cathartes melambrotus"
"597","Catharus aurantiirostris"
"598","Catharus bicknelli"
"599","Catharus dryas"
"600","Catharus fuscater"
"601","Catharus fuscescens"
"602","Catharus guttatus"
"603","Catharus mexicanus"
"604","Catharus minimus"
"605","Catharus occidentalis"
"606","Cecropis cucullata"
"607","Cecropis semirufa"
"608","Centrocercus urophasianus"
"609","Centropus anselli"
"610","Centropus bengalensis"
"611","Centropus bernsteini"
"612","Centropus chalybeus"
"613","Centropus chlororhynchos"
"614","Centropus cupreicaudus"
"615","Centropus goliath"
"616","Centropus grillii"
"617","Centropus leucogaster"
"618","Centropus melanops"
"619","Centropus menbeki"
"620","Centropus nigrorufus"
"621","Centropus phasianinus"
"622","Centropus rectunguis"
"623","Centropus sinensis"
"624","Centropus steerii"
"625","Centropus superciliosus"
"626","Centropus toulou"
"627","Centropus unirufus"
"628","Centropus violaceus"
"629","Centropus viridis"
"630","Cercococcyx montanus"
"631","Cercococcyx olivinus"
"632","Cercomacra brasiliana"
"633","Cercomacra carbonaria"
"634","Cercomacra cinerascens"
"635","Cercomacra laeta"
"636","Cercomacra manu"
"637","Cercomacra melanaria"
"638","Cercomacra nigrescens"
"639","Cercomacra parkeri"
"640","Cercomacra serva"
"641","Cercomacra tyrannina"
"642","Cercomela dubia"
"643","Cercomela familiaris"
"644","Cercomela fusca"
"645","Cercomela melanura"
"646","Cercomela scotocerca"
"647","Cercomela sinuata"
"648","Cercomela tractrac"
"649","Cercotrichas podobe"
"650","Cereopsis novaehollandiae"
"651","Certhia americana"
"652","Certhia brachydactyla"
"653","Certhia discolor"
"654","Certhia familiaris"
"655","Certhia hodgsoni"
"656","Certhia manipurensis"
"657","Certhia nipalensis"
"658","Certhia tianquanensis"
"659","Certhidea olivacea"
"660","Certhilauda chuana"
"661","Certhilauda curvirostris"
"662","Certhilauda semitorquata"
"663","Certhilauda subcoronata"
"664","Certhionyx variegatus"
"665","Ceuthmochares aereus"
"666","Ceyx argentata"
"667","Ceyx azurea"
"668","Ceyx cyanopecta"
"669","Ceyx websteri"
"670","Chaetorhynchus papuensis"
"671","Chalcophaps indica"
"672","Chalcophaps stephani"
"673","Chalcopsitta atra"
"674","Chalcopsitta cardinalis"
"675","Chalcopsitta duivenbodei"
"676","Chalcopsitta sintillata"
"677","Chalcostigma herrani"
"678","Chalcostigma olivaceum"
"679","Chalcostigma ruficeps"
"680","Chalcostigma stanleyi"
"681","Chalybura buffonii"
"682","Chalybura urochrysia"
"683","Chamaepetes goudotii"
"684","Chamaepetes unicolor"
"685","Chasiempis sandwichensis"
"686","Chen caerulescens"
"687","Chen canagica"
"688","Chen rossii"
"689","Chenonetta jubata"
"690","Cheramoeca leucosterna"
"691","Chersomanes albofasciata"
"692","Chersophilus duponti"
"693","Chiroxiphia boliviana"
"694","Chiroxiphia caudata"
"695","Chiroxiphia linearis"
"696","Chiroxiphia pareola"
"697","Chlamydera cerviniventris"
"698","Chlamydera lauterbachi"
"699","Chlamydera maculata"
"700","Chlamydera nuchalis"
"701","Chlamydotis undulata"
"702","Chlidonias hybrida"
"703","Chlidonias leucopterus"
"704","Chlidonias niger"
"705","Chloroceryle aenea"
"706","Chloroceryle americana"
"707","Chloroceryle inda"
"708","Chlorochrysa calliparaea"
"709","Chlorochrysa nitidissima"
"710","Chlorochrysa phoenicotis"
"711","Chloropeta natalensis"
"712","Chloropeta similis"
"713","Chlorophanes spiza"
"714","Chlorornis riefferii"
"715","Chlorospingus canigularis"
"716","Chlorospingus flavigularis"
"717","Chlorospingus inornatus"
"718","Chlorospingus ophthalmicus"
"719","Chlorospingus parvirostris"
"720","Chlorospingus pileatus"
"721","Chlorospingus semifuscus"
"722","Chlorospingus tacarcunae"
"723","Chlorothraupis carmioli"
"724","Chlorothraupis olivacea"
"725","Chondestes grammacus"
"726","Chondrohierax uncinatus"
"727","Chondrohierax wilsonii"
"728","Chordeiles acutipennis"
"729","Chordeiles pusillus"
"730","Chordeiles rupestris"
"731","Chroicocephalus brunnicephalus"
"732","Chroicocephalus bulleri"
"733","Chroicocephalus cirrocephalus"
"734","Chroicocephalus genei"
"735","Chroicocephalus maculipennis"
"736","Chroicocephalus novaehollandiae"
"737","Chroicocephalus philadelphia"
"738","Chroicocephalus ridibundus"
"739","Chroicocephalus saundersi"
"740","Chroicocephalus serranus"
"741","Chrysococcyx basalis"
"742","Chrysococcyx caprius"
"743","Chrysococcyx cupreus"
"744","Chrysococcyx flavigularis"
"745","Chrysococcyx klaas"
"746","Chrysococcyx lucidus"
"747","Chrysococcyx maculatus"
"748","Chrysococcyx megarhynchus"
"749","Chrysococcyx meyeri"
"750","Chrysococcyx minutillus"
"751","Chrysococcyx osculans"
"752","Chrysococcyx xanthorhynchus"
"753","Chrysolophus amherstiae"
"754","Chrysolophus pictus"
"755","Chrysomus icterocephalus"
"756","Chrysomus ruficapillus"
"757","Chunga burmeisteri"
"758","Cichlherminia lherminieri"
"759","Ciconia boyciana"
"760","Ciconia ciconia"
"761","Ciconia episcopus"
"762","Ciconia stormi"
"763","Cinclocerthia gutturalis"
"764","Cinclocerthia ruficauda"
"765","Cinclodes albidiventris"
"766","Cinclodes antarcticus"
"767","Cinclodes aricomae"
"768","Cinclodes atacamensis"
"769","Cinclodes comechingonus"
"770","Cinclodes excelsior"
"771","Cinclodes fuscus"
"772","Cinclodes nigrofumosus"
"773","Cinclodes olrogi"
"774","Cinclodes oustaleti"
"775","Cinclodes pabsti"
"776","Cinclodes palliatus"
"777","Cinclodes taczanowskii"
"778","Cinnyricinclus leucogaster"
"779","Circaetus cinerascens"
"780","Circaetus cinereus"
"781","Circaetus fasciolatus"
"782","Circaetus gallicus"
"783","Cissopis leverianus"
"784","Clamator coromandus"
"785","Clamator glandarius"
"786","Clamator jacobinus"
"787","Clamator levaillantii"
"788","Clangula hyemalis"
"789","Clypicterus oseryi"
"790","Clytospiza monteiri"
"791","Cnemarchus erythropygius"
"792","Cnemophilus loriae"
"793","Cnemophilus macgregorii"
"794","Cnemotriccus fuscatus"
"795","Coccycua cinerea"
"796","Coccycua pumila"
"797","Coccyzus americanus"
"798","Coccyzus euleri"
"799","Coccyzus ferrugineus"
